rbg,dem,mask,mainclass
26403_11058_rgb.tif,26403_11058_dem.tif,26403_11058_label.tif,3.0
26370_11109_rgb.tif,26370_11109_dem.tif,26370_11109_label.tif,3.0
26318_11151_rgb.tif,26318_11151_dem.tif,26318_11151_label.tif,4.0
26366_11119_rgb.tif,26366_11119_dem.tif,26366_11119_label.tif,3.0
26308_11133_rgb.tif,26308_11133_dem.tif,26308_11133_label.tif,3.0
25882_11332_rgb.tif,25882_11332_dem.tif,25882_11332_label.tif,4.0
25847_11298_rgb.tif,25847_11298_dem.tif,25847_11298_label.tif,1.0
25659_11101_rgb.tif,25659_11101_dem.tif,25659_11101_label.tif,1.0
25869_11328_rgb.tif,25869_11328_dem.tif,25869_11328_label.tif,3.0
26610_11328_rgb.tif,26610_11328_dem.tif,26610_11328_label.tif,3.0
25881_11333_rgb.tif,25881_11333_dem.tif,25881_11333_label.tif,4.0
26308_11149_rgb.tif,26308_11149_dem.tif,26308_11149_label.tif,4.0
25857_11277_rgb.tif,25857_11277_dem.tif,25857_11277_label.tif,4.0
25819_11343_rgb.tif,25819_11343_dem.tif,25819_11343_label.tif,5.0
25954_10892_rgb.tif,25954_10892_dem.tif,25954_10892_label.tif,5.0
26048_11139_rgb.tif,26048_11139_dem.tif,26048_11139_label.tif,5.0
26041_11004_rgb.tif,26041_11004_dem.tif,26041_11004_label.tif,7.0
25757_10998_rgb.tif,25757_10998_dem.tif,25757_10998_label.tif,7.0
25811_10849_rgb.tif,25811_10849_dem.tif,25811_10849_label.tif,7.0
25861_10980_rgb.tif,25861_10980_dem.tif,25861_10980_label.tif,7.0
26080_11014_rgb.tif,26080_11014_dem.tif,26080_11014_label.tif,7.0
26301_10891_rgb.tif,26301_10891_dem.tif,26301_10891_label.tif,9.0
25939_10979_rgb.tif,25939_10979_dem.tif,25939_10979_label.tif,9.0


