rbg,dem,mask,mainclass
26163_11224_rgb.tif,26163_11224_dem.tif,26163_11224_label.tif,1.0
26175_11067_rgb.tif,26175_11067_dem.tif,26175_11067_label.tif,1.0
25658_11108_rgb.tif,25658_11108_dem.tif,25658_11108_label.tif,1.0
26683_11480_rgb.tif,26683_11480_dem.tif,26683_11480_label.tif,1.0
26370_11422_rgb.tif,26370_11422_dem.tif,26370_11422_label.tif,1.0
25809_11247_rgb.tif,25809_11247_dem.tif,25809_11247_label.tif,1.0
25822_11284_rgb.tif,25822_11284_dem.tif,25822_11284_label.tif,1.0
26280_11432_rgb.tif,26280_11432_dem.tif,26280_11432_label.tif,1.0
25934_10856_rgb.tif,25934_10856_dem.tif,25934_10856_label.tif,1.0
26345_11483_rgb.tif,26345_11483_dem.tif,26345_11483_label.tif,1.0
26446_11078_rgb.tif,26446_11078_dem.tif,26446_11078_label.tif,1.0
26531_11450_rgb.tif,26531_11450_dem.tif,26531_11450_label.tif,1.0
26283_11444_rgb.tif,26283_11444_dem.tif,26283_11444_label.tif,1.0
25826_10825_rgb.tif,25826_10825_dem.tif,25826_10825_label.tif,1.0
26122_11372_rgb.tif,26122_11372_dem.tif,26122_11372_label.tif,1.0
26495_11486_rgb.tif,26495_11486_dem.tif,26495_11486_label.tif,1.0
25980_11072_rgb.tif,25980_11072_dem.tif,25980_11072_label.tif,1.0
26337_11316_rgb.tif,26337_11316_dem.tif,26337_11316_label.tif,1.0
25727_10958_rgb.tif,25727_10958_dem.tif,25727_10958_label.tif,1.0
26439_11182_rgb.tif,26439_11182_dem.tif,26439_11182_label.tif,1.0
26320_11065_rgb.tif,26320_11065_dem.tif,26320_11065_label.tif,1.0
25818_11280_rgb.tif,25818_11280_dem.tif,25818_11280_label.tif,1.0
25868_10832_rgb.tif,25868_10832_dem.tif,25868_10832_label.tif,1.0
26191_11061_rgb.tif,26191_11061_dem.tif,26191_11061_label.tif,1.0
26209_11011_rgb.tif,26209_11011_dem.tif,26209_11011_label.tif,1.0
26553_11478_rgb.tif,26553_11478_dem.tif,26553_11478_label.tif,1.0
26433_11245_rgb.tif,26433_11245_dem.tif,26433_11245_label.tif,1.0
26477_11399_rgb.tif,26477_11399_dem.tif,26477_11399_label.tif,1.0
26355_11483_rgb.tif,26355_11483_dem.tif,26355_11483_label.tif,1.0
26186_10899_rgb.tif,26186_10899_dem.tif,26186_10899_label.tif,1.0
26595_11531_rgb.tif,26595_11531_dem.tif,26595_11531_label.tif,1.0
26283_10935_rgb.tif,26283_10935_dem.tif,26283_10935_label.tif,1.0
