rbg,dem,mask,mainclass
26408_11411_rgb.tif,26408_11411_dem.tif,26408_11411_label.tif,9.0
26318_11151_rgb.tif,26318_11151_dem.tif,26318_11151_label.tif,4.0
26305_11339_rgb.tif,26305_11339_dem.tif,26305_11339_label.tif,10.0
25859_11277_rgb.tif,25859_11277_dem.tif,25859_11277_label.tif,10.0
26402_11027_rgb.tif,26402_11027_dem.tif,26402_11027_label.tif,14.0
26391_11100_rgb.tif,26391_11100_dem.tif,26391_11100_label.tif,14.0
26308_11133_rgb.tif,26308_11133_dem.tif,26308_11133_label.tif,3.0
26294_10949_rgb.tif,26294_10949_dem.tif,26294_10949_label.tif,10.0
25884_11338_rgb.tif,25884_11338_dem.tif,25884_11338_label.tif,10.0
26403_11024_rgb.tif,26403_11024_dem.tif,26403_11024_label.tif,3.0
26270_11423_rgb.tif,26270_11423_dem.tif,26270_11423_label.tif,1.0
26392_11098_rgb.tif,26392_11098_dem.tif,26392_11098_label.tif,14.0
26088_11355_rgb.tif,26088_11355_dem.tif,26088_11355_label.tif,10.0
25885_11065_rgb.tif,25885_11065_dem.tif,25885_11065_label.tif,4.0
25882_11332_rgb.tif,25882_11332_dem.tif,25882_11332_label.tif,4.0
26268_10983_rgb.tif,26268_10983_dem.tif,26268_10983_label.tif,11.0
26322_11155_rgb.tif,26322_11155_dem.tif,26322_11155_label.tif,10.0
25776_11514_rgb.tif,25776_11514_dem.tif,25776_11514_label.tif,11.0
25793_11243_rgb.tif,25793_11243_dem.tif,25793_11243_label.tif,10.0
26316_11147_rgb.tif,26316_11147_dem.tif,26316_11147_label.tif,15.0
25924_11300_rgb.tif,25924_11300_dem.tif,25924_11300_label.tif,2.0
26309_11135_rgb.tif,26309_11135_dem.tif,26309_11135_label.tif,3.0
26392_11100_rgb.tif,26392_11100_dem.tif,26392_11100_label.tif,11.0
26088_11354_rgb.tif,26088_11354_dem.tif,26088_11354_label.tif,10.0
26269_10982_rgb.tif,26269_10982_dem.tif,26269_10982_label.tif,4.0
26309_11148_rgb.tif,26309_11148_dem.tif,26309_11148_label.tif,10.0
26090_11354_rgb.tif,26090_11354_dem.tif,26090_11354_label.tif,10.0
26308_11134_rgb.tif,26308_11134_dem.tif,26308_11134_label.tif,3.0
26049_10973_rgb.tif,26049_10973_dem.tif,26049_10973_label.tif,4.0
25884_11337_rgb.tif,25884_11337_dem.tif,25884_11337_label.tif,4.0
26045_11181_rgb.tif,26045_11181_dem.tif,26045_11181_label.tif,4.0
26412_11409_rgb.tif,26412_11409_dem.tif,26412_11409_label.tif,9.0
26091_11354_rgb.tif,26091_11354_dem.tif,26091_11354_label.tif,10.0
26271_10981_rgb.tif,26271_10981_dem.tif,26271_10981_label.tif,4.0
26271_10980_rgb.tif,26271_10980_dem.tif,26271_10980_label.tif,10.0
25865_11313_rgb.tif,25865_11313_dem.tif,25865_11313_label.tif,3.0
26306_11340_rgb.tif,26306_11340_dem.tif,26306_11340_label.tif,10.0
26310_11148_rgb.tif,26310_11148_dem.tif,26310_11148_label.tif,14.0
26391_11098_rgb.tif,26391_11098_dem.tif,26391_11098_label.tif,4.0
26172_11066_rgb.tif,26172_11066_dem.tif,26172_11066_label.tif,10.0
26149_11429_rgb.tif,26149_11429_dem.tif,26149_11429_label.tif,4.0
25877_11333_rgb.tif,25877_11333_dem.tif,25877_11333_label.tif,4.0
25857_11277_rgb.tif,25857_11277_dem.tif,25857_11277_label.tif,4.0
26410_11409_rgb.tif,26410_11409_dem.tif,26410_11409_label.tif,9.0
25885_11337_rgb.tif,25885_11337_dem.tif,25885_11337_label.tif,10.0
26409_11410_rgb.tif,26409_11410_dem.tif,26409_11410_label.tif,9.0
26402_11029_rgb.tif,26402_11029_dem.tif,26402_11029_label.tif,4.0
26318_11146_rgb.tif,26318_11146_dem.tif,26318_11146_label.tif,10.0
26148_11067_rgb.tif,26148_11067_dem.tif,26148_11067_label.tif,14.0
26272_10980_rgb.tif,26272_10980_dem.tif,26272_10980_label.tif,4.0
26401_11026_rgb.tif,26401_11026_dem.tif,26401_11026_label.tif,3.0
26085_11091_rgb.tif,26085_11091_dem.tif,26085_11091_label.tif,4.0
26411_11408_rgb.tif,26411_11408_dem.tif,26411_11408_label.tif,9.0
26305_11338_rgb.tif,26305_11338_dem.tif,26305_11338_label.tif,10.0
26392_11097_rgb.tif,26392_11097_dem.tif,26392_11097_label.tif,14.0
26051_10974_rgb.tif,26051_10974_dem.tif,26051_10974_label.tif,3.0
26309_11134_rgb.tif,26309_11134_dem.tif,26309_11134_label.tif,3.0
25882_11333_rgb.tif,25882_11333_dem.tif,25882_11333_label.tif,10.0
26322_11157_rgb.tif,26322_11157_dem.tif,26322_11157_label.tif,14.0
25883_11337_rgb.tif,25883_11337_dem.tif,25883_11337_label.tif,4.0
25887_11066_rgb.tif,25887_11066_dem.tif,25887_11066_label.tif,4.0
25862_10859_rgb.tif,25862_10859_dem.tif,25862_10859_label.tif,10.0
25890_11068_rgb.tif,25890_11068_dem.tif,25890_11068_label.tif,4.0
26286_11128_rgb.tif,26286_11128_dem.tif,26286_11128_label.tif,15.0
25880_11332_rgb.tif,25880_11332_dem.tif,25880_11332_label.tif,4.0
26171_11066_rgb.tif,26171_11066_dem.tif,26171_11066_label.tif,10.0
25865_11312_rgb.tif,25865_11312_dem.tif,25865_11312_label.tif,10.0
26036_11125_rgb.tif,26036_11125_dem.tif,26036_11125_label.tif,4.0
26270_10980_rgb.tif,26270_10980_dem.tif,26270_10980_label.tif,10.0
26390_11098_rgb.tif,26390_11098_dem.tif,26390_11098_label.tif,14.0
26403_11023_rgb.tif,26403_11023_dem.tif,26403_11023_label.tif,4.0
25866_11313_rgb.tif,25866_11313_dem.tif,25866_11313_label.tif,3.0
25888_11066_rgb.tif,25888_11066_dem.tif,25888_11066_label.tif,4.0
26402_11028_rgb.tif,26402_11028_dem.tif,26402_11028_label.tif,3.0
26402_11026_rgb.tif,26402_11026_dem.tif,26402_11026_label.tif,4.0
26323_11155_rgb.tif,26323_11155_dem.tif,26323_11155_label.tif,10.0
26339_11338_rgb.tif,26339_11338_dem.tif,26339_11338_label.tif,10.0
26409_11409_rgb.tif,26409_11409_dem.tif,26409_11409_label.tif,9.0
25930_11296_rgb.tif,25930_11296_dem.tif,25930_11296_label.tif,10.0
25876_11332_rgb.tif,25876_11332_dem.tif,25876_11332_label.tif,11.0
26340_11135_rgb.tif,26340_11135_dem.tif,26340_11135_label.tif,11.0
25737_11187_rgb.tif,25737_11187_dem.tif,25737_11187_label.tif,10.0
26658_11362_rgb.tif,26658_11362_dem.tif,26658_11362_label.tif,11.0
26412_11408_rgb.tif,26412_11408_dem.tif,26412_11408_label.tif,9.0
26050_10971_rgb.tif,26050_10971_dem.tif,26050_10971_label.tif,11.0
26323_11157_rgb.tif,26323_11157_dem.tif,26323_11157_label.tif,10.0
26406_11411_rgb.tif,26406_11411_dem.tif,26406_11411_label.tif,9.0
26311_11152_rgb.tif,26311_11152_dem.tif,26311_11152_label.tif,14.0
26089_11354_rgb.tif,26089_11354_dem.tif,26089_11354_label.tif,10.0
26348_11359_rgb.tif,26348_11359_dem.tif,26348_11359_label.tif,10.0
26316_11148_rgb.tif,26316_11148_dem.tif,26316_11148_label.tif,15.0
26339_11339_rgb.tif,26339_11339_dem.tif,26339_11339_label.tif,10.0
26407_11411_rgb.tif,26407_11411_dem.tif,26407_11411_label.tif,9.0
26347_11359_rgb.tif,26347_11359_dem.tif,26347_11359_label.tif,10.0
26051_10973_rgb.tif,26051_10973_dem.tif,26051_10973_label.tif,10.0
26149_11430_rgb.tif,26149_11430_dem.tif,26149_11430_label.tif,14.0
26271_11424_rgb.tif,26271_11424_dem.tif,26271_11424_label.tif,4.0
25759_11006_rgb.tif,25759_11006_dem.tif,25759_11006_label.tif,7.0
26289_10957_rgb.tif,26289_10957_dem.tif,26289_10957_label.tif,10.0
26310_11149_rgb.tif,26310_11149_dem.tif,26310_11149_label.tif,4.0
25867_11313_rgb.tif,25867_11313_dem.tif,25867_11313_label.tif,4.0
26403_11025_rgb.tif,26403_11025_dem.tif,26403_11025_label.tif,14.0
26499_11410_rgb.tif,26499_11410_dem.tif,26499_11410_label.tif,4.0
25889_11067_rgb.tif,25889_11067_dem.tif,25889_11067_label.tif,4.0
26340_11340_rgb.tif,26340_11340_dem.tif,26340_11340_label.tif,10.0
25880_11334_rgb.tif,25880_11334_dem.tif,25880_11334_label.tif,10.0
26318_11147_rgb.tif,26318_11147_dem.tif,26318_11147_label.tif,3.0
26339_11337_rgb.tif,26339_11337_dem.tif,26339_11337_label.tif,10.0
26323_11156_rgb.tif,26323_11156_dem.tif,26323_11156_label.tif,3.0
26308_11149_rgb.tif,26308_11149_dem.tif,26308_11149_label.tif,4.0
25866_11311_rgb.tif,25866_11311_dem.tif,25866_11311_label.tif,11.0
26404_11028_rgb.tif,26404_11028_dem.tif,26404_11028_label.tif,3.0
25879_11334_rgb.tif,25879_11334_dem.tif,25879_11334_label.tif,10.0
25883_11332_rgb.tif,25883_11332_dem.tif,25883_11332_label.tif,11.0
26289_10959_rgb.tif,26289_10959_dem.tif,26289_10959_label.tif,10.0
26317_11147_rgb.tif,26317_11147_dem.tif,26317_11147_label.tif,15.0
26049_10972_rgb.tif,26049_10972_dem.tif,26049_10972_label.tif,11.0
25879_11332_rgb.tif,25879_11332_dem.tif,25879_11332_label.tif,11.0
26410_11410_rgb.tif,26410_11410_dem.tif,26410_11410_label.tif,9.0
25881_11333_rgb.tif,25881_11333_dem.tif,25881_11333_label.tif,4.0
26347_11358_rgb.tif,26347_11358_dem.tif,26347_11358_label.tif,11.0
26170_11066_rgb.tif,26170_11066_dem.tif,26170_11066_label.tif,10.0
25673_11376_rgb.tif,25673_11376_dem.tif,25673_11376_label.tif,7.0
25876_11333_rgb.tif,25876_11333_dem.tif,25876_11333_label.tif,4.0
26307_11134_rgb.tif,26307_11134_dem.tif,26307_11134_label.tif,10.0
26325_11157_rgb.tif,26325_11157_dem.tif,26325_11157_label.tif,11.0
26323_11158_rgb.tif,26323_11158_dem.tif,26323_11158_label.tif,14.0
25885_11338_rgb.tif,25885_11338_dem.tif,25885_11338_label.tif,10.0
26341_11339_rgb.tif,26341_11339_dem.tif,26341_11339_label.tif,1.0
26108_11063_rgb.tif,26108_11063_dem.tif,26108_11063_label.tif,4.0
