rbg,dem,mask,mainclass,few
26422_10951_rgb.tif,26422_10951_dem.tif,26422_10951_label.tif,1.0,0
26106_11400_rgb.tif,26106_11400_dem.tif,26106_11400_label.tif,1.0,0
26245_10885_rgb.tif,26245_10885_dem.tif,26245_10885_label.tif,1.0,0
26326_11391_rgb.tif,26326_11391_dem.tif,26326_11391_label.tif,1.0,0
25582_11012_rgb.tif,25582_11012_dem.tif,25582_11012_label.tif,1.0,0
25775_11523_rgb.tif,25775_11523_dem.tif,25775_11523_label.tif,1.0,0
26389_11453_rgb.tif,26389_11453_dem.tif,26389_11453_label.tif,1.0,0
26357_11472_rgb.tif,26357_11472_dem.tif,26357_11472_label.tif,1.0,0
25708_10946_rgb.tif,25708_10946_dem.tif,25708_10946_label.tif,1.0,0
25851_10932_rgb.tif,25851_10932_dem.tif,25851_10932_label.tif,1.0,0
26006_10983_rgb.tif,26006_10983_dem.tif,26006_10983_label.tif,1.0,0
26128_10947_rgb.tif,26128_10947_dem.tif,26128_10947_label.tif,1.0,0
26284_11448_rgb.tif,26284_11448_dem.tif,26284_11448_label.tif,1.0,0
26495_11208_rgb.tif,26495_11208_dem.tif,26495_11208_label.tif,1.0,0
26346_10973_rgb.tif,26346_10973_dem.tif,26346_10973_label.tif,1.0,0
25933_10846_rgb.tif,25933_10846_dem.tif,25933_10846_label.tif,1.0,0
26288_11090_rgb.tif,26288_11090_dem.tif,26288_11090_label.tif,1.0,1
26367_11098_rgb.tif,26367_11098_dem.tif,26367_11098_label.tif,1.0,0
26165_11108_rgb.tif,26165_11108_dem.tif,26165_11108_label.tif,1.0,0
26396_11137_rgb.tif,26396_11137_dem.tif,26396_11137_label.tif,1.0,0
26132_11030_rgb.tif,26132_11030_dem.tif,26132_11030_label.tif,1.0,0
26268_11353_rgb.tif,26268_11353_dem.tif,26268_11353_label.tif,1.0,0
25972_11319_rgb.tif,25972_11319_dem.tif,25972_11319_label.tif,1.0,0
25911_11308_rgb.tif,25911_11308_dem.tif,25911_11308_label.tif,1.0,0
25881_10874_rgb.tif,25881_10874_dem.tif,25881_10874_label.tif,1.0,0
25721_10911_rgb.tif,25721_10911_dem.tif,25721_10911_label.tif,1.0,0
26659_11390_rgb.tif,26659_11390_dem.tif,26659_11390_label.tif,1.0,0
25746_10837_rgb.tif,25746_10837_dem.tif,25746_10837_label.tif,1.0,0
26107_11036_rgb.tif,26107_11036_dem.tif,26107_11036_label.tif,1.0,0
25945_10842_rgb.tif,25945_10842_dem.tif,25945_10842_label.tif,1.0,0
26248_11138_rgb.tif,26248_11138_dem.tif,26248_11138_label.tif,1.0,0
26256_11148_rgb.tif,26256_11148_dem.tif,26256_11148_label.tif,1.0,0
25942_10961_rgb.tif,25942_10961_dem.tif,25942_10961_label.tif,1.0,0
26576_11408_rgb.tif,26576_11408_dem.tif,26576_11408_label.tif,1.0,0
26333_11315_rgb.tif,26333_11315_dem.tif,26333_11315_label.tif,1.0,0
26293_11335_rgb.tif,26293_11335_dem.tif,26293_11335_label.tif,1.0,0
25918_10876_rgb.tif,25918_10876_dem.tif,25918_10876_label.tif,1.0,0
25923_10909_rgb.tif,25923_10909_dem.tif,25923_10909_label.tif,1.0,0
25906_10851_rgb.tif,25906_10851_dem.tif,25906_10851_label.tif,1.0,0
26277_10986_rgb.tif,26277_10986_dem.tif,26277_10986_label.tif,1.0,0
26090_11042_rgb.tif,26090_11042_dem.tif,26090_11042_label.tif,1.0,0
26247_10985_rgb.tif,26247_10985_dem.tif,26247_10985_label.tif,1.0,0
26283_11447_rgb.tif,26283_11447_dem.tif,26283_11447_label.tif,1.0,0
26452_11463_rgb.tif,26452_11463_dem.tif,26452_11463_label.tif,1.0,0
25938_11309_rgb.tif,25938_11309_dem.tif,25938_11309_label.tif,1.0,0
26490_11500_rgb.tif,26490_11500_dem.tif,26490_11500_label.tif,1.0,0
26233_10904_rgb.tif,26233_10904_dem.tif,26233_10904_label.tif,1.0,0
25778_11224_rgb.tif,25778_11224_dem.tif,25778_11224_label.tif,1.0,0
25755_11202_rgb.tif,25755_11202_dem.tif,25755_11202_label.tif,1.0,0
25872_11300_rgb.tif,25872_11300_dem.tif,25872_11300_label.tif,1.0,0
26117_10941_rgb.tif,26117_10941_dem.tif,26117_10941_label.tif,1.0,0
26451_11099_rgb.tif,26451_11099_dem.tif,26451_11099_label.tif,1.0,0
25926_11267_rgb.tif,25926_11267_dem.tif,25926_11267_label.tif,1.0,0
26430_10997_rgb.tif,26430_10997_dem.tif,26430_10997_label.tif,1.0,0
26276_11326_rgb.tif,26276_11326_dem.tif,26276_11326_label.tif,1.0,0
25863_10932_rgb.tif,25863_10932_dem.tif,25863_10932_label.tif,1.0,0
26393_11231_rgb.tif,26393_11231_dem.tif,26393_11231_label.tif,1.0,0
25810_11066_rgb.tif,25810_11066_dem.tif,25810_11066_label.tif,1.0,0
26241_11013_rgb.tif,26241_11013_dem.tif,26241_11013_label.tif,1.0,0
25588_11000_rgb.tif,25588_11000_dem.tif,25588_11000_label.tif,1.0,0
25722_10874_rgb.tif,25722_10874_dem.tif,25722_10874_label.tif,1.0,0
26310_10923_rgb.tif,26310_10923_dem.tif,26310_10923_label.tif,1.0,1
25954_11020_rgb.tif,25954_11020_dem.tif,25954_11020_label.tif,1.0,0
26280_11126_rgb.tif,26280_11126_dem.tif,26280_11126_label.tif,1.0,0
25820_11309_rgb.tif,25820_11309_dem.tif,25820_11309_label.tif,1.0,0
26493_11227_rgb.tif,26493_11227_dem.tif,26493_11227_label.tif,1.0,1
