,test_mean_acc,test_mean_iou,test_class_accuracies,test_overall_acc
Background,0.3296143421680156,0.2216157231164376,0.009,0.6460458
Fels,0.3296143421680156,0.2216157231164376,0.415,0.6460458
Fels locker,0.3296143421680156,0.2216157231164376,0.0,0.6460458
Felsbloecke,0.3296143421680156,0.2216157231164376,0.0,0.6460458
Felsbloecke locker,0.3296143421680156,0.2216157231164376,,0.6460458
Fliessgewaesser,0.3296143421680156,0.2216157231164376,0.001,0.6460458
Gletscher,0.3296143421680156,0.2216157231164376,0.717,0.6460458
Lockergestein,0.3296143421680156,0.2216157231164376,0.74,0.6460458
Lockergestein locker,0.3296143421680156,0.2216157231164376,0.115,0.6460458
Wald,0.3296143421680156,0.2216157231164376,0.969,0.6460458
