Experiment results
out/august/CNN_merge_CBL/metrics.csv
2023-09-07 20:07:45
"test_miou, 0.5"
"test_macc, 0.678"
"test_oacc, 0.855"
"frequent_cls_acc, 0.881"
"common_cls_acc, 0.639"
"rare_cls_acc, 0.672"
"test_acc_Background, 0.0"
"test_acc_Bedrock, 0.836"
"test_acc_Bedrockwith grass, 0.496"
"test_acc_Large blocks, 0.746"
"test_acc_Large blocks with grass, 0.597"
"test_acc_Scree, 0.82"
"test_acc_Scree with grass, 0.475"
"test_acc_Water, 0.946"
"test_acc_Forest, 0.962"
"test_acc_Glacier, 0.906"
