Experiment results
out/august/CNN_merge_lr_5e-7/metrics.csv
2023-08-29 14:41:56
"test_miou, 0.302"
"test_macc, 0.345"
"test_oacc, 0.83"
"frequent_cls_acc, 0.862"
"common_cls_acc, 0.0"
"rare_cls_acc, 0.0"
"test_acc_Background, 0.0"
"test_acc_Bedrock, 0.895"
"test_acc_Bedrockwith grass, 0.0"
"test_acc_Large blocks, 0.0"
"test_acc_Large blocks with grass, 0.0"
"test_acc_Scree, 0.82"
"test_acc_Scree with grass, 0.0"
"test_acc_Water, 0.0"
"test_acc_Forest, 0.855"
"test_acc_Glacier, 0.877"
