Experiment results
out/lws_l2_norm/ace_3exp_L2/metrics.csv
2023-06-26 22:02:11
"test_miou, 0.438"
"test_macc, 0.645"
"test_oacc, 0.808"
"frequent_cls_acc, 0.837"
"common_cls_acc, 0.728"
"rare_cls_acc, 0.46"
"test_acc_Background, 0.0"
"test_acc_Bedrock, 0.796"
"test_acc_Bedrockwith grass, 0.524"
"test_acc_Large blocks, 0.731"
"test_acc_Large blocks with grass, 0.188"
"test_acc_Scree, 0.703"
"test_acc_Scree with grass, 0.714"
"test_acc_Water, 0.946"
"test_acc_Forest, 0.955"
"test_acc_Glacier, 0.893"
