Experiment results
out/lws_l2_norm/ace_3exp_better__L2/metrics.csv
2023-06-27 05:26:08
"test_miou, 0.44"
"test_macc, 0.636"
"test_oacc, 0.817"
"frequent_cls_acc, 0.843"
"common_cls_acc, 0.682"
"rare_cls_acc, 0.47"
"test_acc_Background, 0.0"
"test_acc_Bedrock, 0.797"
"test_acc_Bedrockwith grass, 0.409"
"test_acc_Large blocks, 0.757"
"test_acc_Large blocks with grass, 0.183"
"test_acc_Scree, 0.758"
"test_acc_Scree with grass, 0.691"
"test_acc_Water, 0.946"
"test_acc_Forest, 0.944"
"test_acc_Glacier, 0.873"
