Experiment results
out/lws_l2_norm/debug/metrics.csv
2023-06-27 11:42:48
"test_miou, 0.021"
"test_macc, 0.092"
"test_oacc, 0.057"
"frequent_cls_acc, 0.07"
"common_cls_acc, 0.061"
"rare_cls_acc, nan"
"test_acc_Background, 0.358"
"test_acc_Bedrock, 0.001"
"test_acc_Bedrockwith grass, 0.045"
"test_acc_Large blocks, 0.006"
"test_acc_Large blocks with grass, nan"
"test_acc_Scree, 0.108"
"test_acc_Scree with grass, 0.137"
"test_acc_Water, 0.0"
"test_acc_Forest, 0.169"
"test_acc_Glacier, 0.004"
