Experiment results
out/august/MLP_merge_CBL_lr_1e-6/metrics.csv
2023-09-02 19:40:00
"test_miou, 0.491"
"test_macc, 0.683"
"test_oacc, 0.852"
"frequent_cls_acc, 0.881"
"common_cls_acc, 0.63"
"rare_cls_acc, 0.707"
"test_acc_Background, 0.0"
"test_acc_Bedrock, 0.817"
"test_acc_Bedrockwith grass, 0.507"
"test_acc_Large blocks, 0.758"
"test_acc_Large blocks with grass, 0.656"
"test_acc_Scree, 0.83"
"test_acc_Scree with grass, 0.435"
"test_acc_Water, 0.948"
"test_acc_Forest, 0.973"
"test_acc_Glacier, 0.903"
