Experiment results
out/august/MLP_merge_CBL_lr_1e-6_0609/metrics.csv
2023-09-06 19:00:58
"test_miou, 0.068"
"test_macc, 0.163"
"test_oacc, 0.19"
"frequent_cls_acc, 0.237"
"common_cls_acc, 0.022"
"rare_cls_acc, 0.276"
"test_acc_Background, 0.065"
"test_acc_Bedrock, 0.04"
"test_acc_Bedrockwith grass, 0.049"
"test_acc_Large blocks, 0.538"
"test_acc_Large blocks with grass, 0.015"
"test_acc_Scree, 0.037"
"test_acc_Scree with grass, 0.01"
"test_acc_Water, 0.008"
"test_acc_Forest, 0.443"
"test_acc_Glacier, 0.428"
