Experiment results
out/august/MLP_merge_lr_1e-8/metrics.csv
2023-08-30 04:53:21
"test_miou, 0.006"
"test_macc, 0.048"
"test_oacc, 0.014"
"frequent_cls_acc, 0.017"
"common_cls_acc, 0.015"
"rare_cls_acc, 0.08"
"test_acc_Background, 0.205"
"test_acc_Bedrock, 0.012"
"test_acc_Bedrockwith grass, 0.018"
"test_acc_Large blocks, 0.0"
"test_acc_Large blocks with grass, 0.159"
"test_acc_Scree, 0.013"
"test_acc_Scree with grass, 0.005"
"test_acc_Water, 0.023"
"test_acc_Forest, 0.041"
"test_acc_Glacier, 0.003"
