Experiment results
out/august/MLP_merge_sm/metrics.csv
2023-08-26 15:49:23
"test_miou, 0.464"
"test_macc, 0.618"
"test_oacc, 0.832"
"frequent_cls_acc, 0.86"
"common_cls_acc, 0.614"
"rare_cls_acc, 0.448"
"test_acc_Background, 0.0"
"test_acc_Bedrock, 0.803"
"test_acc_Bedrockwith grass, 0.427"
"test_acc_Large blocks, 0.661"
"test_acc_Large blocks with grass, 0.236"
"test_acc_Scree, 0.792"
"test_acc_Scree with grass, 0.497"
"test_acc_Water, 0.917"
"test_acc_Forest, 0.947"
"test_acc_Glacier, 0.897"
