Experiment results
out/august/MLP_select_ll_lr1e_5/metrics.csv
2023-09-05 22:24:30
"test_miou, 0.029"
"test_macc, 0.1"
"test_oacc, 0.288"
"frequent_cls_acc, 0.25"
"common_cls_acc, 0.0"
"rare_cls_acc, 0.0"
"test_acc_Background, 0.0"
"test_acc_Bedrock, 1.0"
"test_acc_Bedrockwith grass, 0.0"
"test_acc_Large blocks, 0.0"
"test_acc_Large blocks with grass, 0.0"
"test_acc_Scree, 0.0"
"test_acc_Scree with grass, 0.0"
"test_acc_Water, 0.0"
"test_acc_Forest, 0.0"
"test_acc_Glacier, 0.0"
