Experiment results
out/august/MLP_select_lr1e_5_sgd/metrics.csv
2023-09-06 16:12:54
"test_miou, 0.025"
"test_macc, 0.089"
"test_oacc, 0.188"
"frequent_cls_acc, 0.162"
"common_cls_acc, 0.005"
"rare_cls_acc, 0.0"
"test_acc_Background, 0.229"
"test_acc_Bedrock, 0.647"
"test_acc_Bedrockwith grass, 0.016"
"test_acc_Large blocks, 0.0"
"test_acc_Large blocks with grass, 0.0"
"test_acc_Scree, 0.0"
"test_acc_Scree with grass, 0.0"
"test_acc_Water, 0.0"
"test_acc_Forest, 0.0"
"test_acc_Glacier, 0.0"
