Experiment results
out/august/MCE3_moptim/metrics.csv
2023-08-28 03:56:47
"test_miou, 0.487"
"test_macc, 0.701"
"test_oacc, 0.846"
"frequent_cls_acc, 0.869"
"common_cls_acc, 0.694"
"rare_cls_acc, 0.724"
"test_acc_Background, 0.0"
"test_acc_Bedrock, 0.834"
"test_acc_Bedrockwith grass, 0.471"
"test_acc_Large blocks, 0.835"
"test_acc_Large blocks with grass, 0.614"
"test_acc_Scree, 0.799"
"test_acc_Scree with grass, 0.652"
"test_acc_Water, 0.958"
"test_acc_Forest, 0.949"
"test_acc_Glacier, 0.894"
