Experiment results
out/august/MCE3_moptim/metrics_2023-08-28 15:02:05zero_nontarget_exp.csv
2023-08-28 15:02:05
"test_miou, 0.506"
"test_macc, 0.665"
"test_oacc, 0.855"
"frequent_cls_acc, 0.88"
"common_cls_acc, 0.639"
"rare_cls_acc, 0.607"
"test_acc_Background, 0.0"
"test_acc_Bedrock, 0.841"
"test_acc_Bedrockwith grass, 0.411"
"test_acc_Large blocks, 0.726"
"test_acc_Large blocks with grass, 0.489"
"test_acc_Scree, 0.828"
"test_acc_Scree with grass, 0.558"
"test_acc_Water, 0.948"
"test_acc_Forest, 0.955"
"test_acc_Glacier, 0.895"
