Experiment results
out/ablation/MCE-3_lcom_w_wd/metrics.csv
2023-09-22 06:41:07
"test_miou, 0.477"
"test_macc, 0.71"
"test_oacc, 0.841"
"frequent_cls_acc, 0.865"
"common_cls_acc, 0.699"
"rare_cls_acc, 0.774"
"test_acc_Background, 0.0"
"test_acc_Bedrock, 0.828"
"test_acc_Bedrockwith grass, 0.493"
"test_acc_Large blocks, 0.881"
"test_acc_Large blocks with grass, 0.666"
"test_acc_Scree, 0.781"
"test_acc_Scree with grass, 0.646"
"test_acc_Water, 0.957"
"test_acc_Forest, 0.953"
"test_acc_Glacier, 0.897"
