Experiment results
out/august/CEL_small_bs/metrics.csv
2023-08-24 20:36:11
"test_miou, 0.086"
"test_macc, 0.176"
"test_oacc, 0.296"
"frequent_cls_acc, 0.364"
"common_cls_acc, 0.037"
"rare_cls_acc, nan"
"test_acc_Background, 0.006"
"test_acc_Bedrock, 0.237"
"test_acc_Bedrockwith grass, 0.008"
"test_acc_Large blocks, 0.011"
"test_acc_Large blocks with grass, nan"
"test_acc_Scree, 0.238"
"test_acc_Scree with grass, 0.041"
"test_acc_Water, 0.062"
"test_acc_Forest, 0.719"
"test_acc_Glacier, 0.26"
