Experiment results
out/august/CNN_merge_CBL_1e6/metrics.csv
2023-09-07 23:07:05
"test_miou, 0.286"
"test_macc, 0.394"
"test_oacc, 0.739"
"frequent_cls_acc, 0.79"
"common_cls_acc, 0.034"
"rare_cls_acc, 0.31"
"test_acc_Background, 0.062"
"test_acc_Bedrock, 0.706"
"test_acc_Bedrockwith grass, 0.051"
"test_acc_Large blocks, 0.594"
"test_acc_Large blocks with grass, 0.026"
"test_acc_Scree, 0.663"
"test_acc_Scree with grass, 0.009"
"test_acc_Water, 0.043"
"test_acc_Forest, 0.923"
"test_acc_Glacier, 0.868"
