Experiment results
out/august/CNN_merge_lr_1e-6/metrics.csv
2023-08-28 17:30:15
"test_miou, 0.025"
"test_macc, 0.131"
"test_oacc, 0.119"
"frequent_cls_acc, 0.103"
"common_cls_acc, 0.028"
"rare_cls_acc, 0.404"
"test_acc_Background, 0.001"
"test_acc_Bedrock, 0.346"
"test_acc_Bedrockwith grass, 0.081"
"test_acc_Large blocks, 0.809"
"test_acc_Large blocks with grass, 0.0"
"test_acc_Scree, 0.026"
"test_acc_Scree with grass, 0.002"
"test_acc_Water, 0.0"
"test_acc_Forest, 0.009"
"test_acc_Glacier, 0.032"
