Experiment results
out/august/CNN_select_CBL_lr_1e-5/metrics.csv
2023-09-04 21:56:47
"test_miou, 0.031"
"test_macc, 0.123"
"test_oacc, 0.277"
"frequent_cls_acc, 0.239"
"common_cls_acc, 0.0"
"rare_cls_acc, 0.0"
"test_acc_Background, 0.268"
"test_acc_Bedrock, 0.957"
"test_acc_Bedrockwith grass, 0.0"
"test_acc_Large blocks, 0.0"
"test_acc_Large blocks with grass, 0.0"
"test_acc_Scree, 0.0"
"test_acc_Scree with grass, 0.0"
"test_acc_Water, 0.0"
"test_acc_Forest, 0.0"
"test_acc_Glacier, 0.0"
