Experiment results
out/august/CNN_select_lr_1e-5/metrics.csv
2023-08-30 17:33:33
"test_miou, 0.03"
"test_macc, 0.103"
"test_oacc, 0.288"
"frequent_cls_acc, 0.249"
"common_cls_acc, 0.0"
"rare_cls_acc, 0.0"
"test_acc_Background, 0.034"
"test_acc_Bedrock, 0.997"
"test_acc_Bedrockwith grass, 0.0"
"test_acc_Large blocks, 0.0"
"test_acc_Large blocks with grass, 0.0"
"test_acc_Scree, 0.0"
"test_acc_Scree with grass, 0.0"
"test_acc_Water, 0.0"
"test_acc_Forest, 0.0"
"test_acc_Glacier, 0.0"
