Experiment results
out/august/MCE-2_lcom_small/metrics.csv
2023-09-16 11:17:00
"test_miou, 0.539"
"test_macc, 0.688"
"test_oacc, 0.876"
"frequent_cls_acc, 0.897"
"common_cls_acc, 0.737"
"rare_cls_acc, 0.542"
"test_acc_Background, 0.0"
"test_acc_Bedrock, 0.859"
"test_acc_Bedrockwith grass, 0.58"
"test_acc_Large blocks, 0.71"
"test_acc_Large blocks with grass, 0.375"
"test_acc_Scree, 0.834"
"test_acc_Scree with grass, 0.662"
"test_acc_Water, 0.97"
"test_acc_Forest, 0.96"
"test_acc_Glacier, 0.935"
