Experiment results
out/august/MCE3/metrics.csv
2023-08-24 20:34:02
"test_miou, 0.018"
"test_macc, 0.107"
"test_oacc, 0.118"
"frequent_cls_acc, 0.223"
"common_cls_acc, 0.024"
"rare_cls_acc, nan"
"test_acc_Background, 0.001"
"test_acc_Bedrock, 0.046"
"test_acc_Bedrockwith grass, 0.001"
"test_acc_Large blocks, 0.0"
"test_acc_Large blocks with grass, nan"
"test_acc_Scree, 0.0"
"test_acc_Scree with grass, 0.0"
"test_acc_Water, 0.07"
"test_acc_Forest, 0.847"
"test_acc_Glacier, 0.0"
