Experiment results
out/august/MCE3_max_pool/metrics.csv
2023-08-31 06:49:15
"test_miou, 0.454"
"test_macc, 0.664"
"test_oacc, 0.82"
"frequent_cls_acc, 0.844"
"common_cls_acc, 0.72"
"rare_cls_acc, 0.549"
"test_acc_Background, 0.0"
"test_acc_Bedrock, 0.786"
"test_acc_Bedrockwith grass, 0.512"
"test_acc_Large blocks, 0.837"
"test_acc_Large blocks with grass, 0.261"
"test_acc_Scree, 0.77"
"test_acc_Scree with grass, 0.689"
"test_acc_Water, 0.958"
"test_acc_Forest, 0.941"
"test_acc_Glacier, 0.881"
