Experiment results
out/august/MLP_merge_CBL_lr_1e-5/metrics.csv
2023-09-02 14:33:18
"test_miou, 0.497"
"test_macc, 0.681"
"test_oacc, 0.854"
"frequent_cls_acc, 0.88"
"common_cls_acc, 0.63"
"rare_cls_acc, 0.7"
"test_acc_Background, 0.0"
"test_acc_Bedrock, 0.819"
"test_acc_Bedrockwith grass, 0.545"
"test_acc_Large blocks, 0.768"
"test_acc_Large blocks with grass, 0.633"
"test_acc_Scree, 0.844"
"test_acc_Scree with grass, 0.411"
"test_acc_Water, 0.934"
"test_acc_Forest, 0.964"
"test_acc_Glacier, 0.895"
