Experiment results
out/august/MLP_merge_invf_lr_5e-5/metrics.csv
2023-09-03 00:48:24
"test_miou, 0.27"
"test_macc, 0.424"
"test_oacc, 0.704"
"frequent_cls_acc, 0.741"
"common_cls_acc, 0.424"
"rare_cls_acc, 0.0"
"test_acc_Background, 0.0"
"test_acc_Bedrock, 0.306"
"test_acc_Bedrockwith grass, 0.46"
"test_acc_Large blocks, 0.0"
"test_acc_Large blocks with grass, 0.0"
"test_acc_Scree, 0.894"
"test_acc_Scree with grass, 0.813"
"test_acc_Water, 0.0"
"test_acc_Forest, 0.872"
"test_acc_Glacier, 0.894"
