Experiment results
out/august/MLP_merge_lr_1e-6/metrics.csv
2023-08-29 23:46:01
"test_miou, 0.486"
"test_macc, 0.56"
"test_oacc, 0.858"
"frequent_cls_acc, 0.89"
"common_cls_acc, 0.528"
"rare_cls_acc, 0.228"
"test_acc_Background, 0.0"
"test_acc_Bedrock, 0.826"
"test_acc_Bedrockwith grass, 0.309"
"test_acc_Large blocks, 0.437"
"test_acc_Large blocks with grass, 0.02"
"test_acc_Scree, 0.852"
"test_acc_Scree with grass, 0.332"
"test_acc_Water, 0.942"
"test_acc_Forest, 0.977"
"test_acc_Glacier, 0.904"
