Experiment results
out/august/MLP_merge_no_w/metrics.csv
2023-09-07 15:50:03
"test_miou, 0.306"
"test_macc, 0.349"
"test_oacc, 0.837"
"frequent_cls_acc, 0.872"
"common_cls_acc, 0.0"
"rare_cls_acc, 0.0"
"test_acc_Background, 0.0"
"test_acc_Bedrock, 0.887"
"test_acc_Bedrockwith grass, 0.0"
"test_acc_Large blocks, 0.0"
"test_acc_Large blocks with grass, 0.0"
"test_acc_Scree, 0.805"
"test_acc_Scree with grass, 0.0"
"test_acc_Water, 0.0"
"test_acc_Forest, 0.882"
"test_acc_Glacier, 0.914"
