Experiment results
out/august/MLP_select_CBL_lr_1e-5/metrics.csv
2023-09-04 19:26:50
"test_miou, 0.031"
"test_macc, 0.123"
"test_oacc, 0.281"
"frequent_cls_acc, 0.243"
"common_cls_acc, 0.0"
"rare_cls_acc, 0.0"
"test_acc_Background, 0.253"
"test_acc_Bedrock, 0.972"
"test_acc_Bedrockwith grass, 0.0"
"test_acc_Large blocks, 0.0"
"test_acc_Large blocks with grass, 0.0"
"test_acc_Scree, 0.0"
"test_acc_Scree with grass, 0.0"
"test_acc_Water, 0.0"
"test_acc_Forest, 0.0"
"test_acc_Glacier, 0.0"
