Experiment results
out/august/debug/metrics.csv
2023-08-24 11:46:16
"test_miou, 0.029"
"test_macc, 0.112"
"test_oacc, 0.093"
"frequent_cls_acc, 0.09"
"common_cls_acc, 0.196"
"rare_cls_acc, nan"
"test_acc_Background, 0.055"
"test_acc_Bedrock, 0.026"
"test_acc_Bedrockwith grass, 0.0"
"test_acc_Large blocks, 0.0"
"test_acc_Large blocks with grass, nan"
"test_acc_Scree, 0.174"
"test_acc_Scree with grass, 0.557"
"test_acc_Water, 0.031"
"test_acc_Forest, 0.137"
"test_acc_Glacier, 0.024"
Experiment results
out/august/debug/metrics.csv
2023-08-24 12:00:51
"test_miou, 0.013"
"test_macc, 0.108"
"test_oacc, 0.121"
"frequent_cls_acc, 0.243"
"common_cls_acc, 0.001"
"rare_cls_acc, nan"
"test_acc_Background, 0.001"
"test_acc_Bedrock, 0.005"
"test_acc_Bedrockwith grass, 0.0"
"test_acc_Large blocks, 0.0"
"test_acc_Large blocks with grass, nan"
"test_acc_Scree, 0.001"
"test_acc_Scree with grass, 0.0"
"test_acc_Water, 0.004"
"test_acc_Forest, 0.967"
"test_acc_Glacier, 0.0"
Experiment results
out/august/debug/metrics.csv
2023-08-24 12:02:54
"test_miou, 0.036"
"test_macc, 0.146"
"test_oacc, 0.151"
"frequent_cls_acc, 0.217"
"common_cls_acc, 0.001"
"rare_cls_acc, nan"
"test_acc_Background, 0.134"
"test_acc_Bedrock, 0.073"
"test_acc_Bedrockwith grass, 0.0"
"test_acc_Large blocks, 0.307"
"test_acc_Large blocks with grass, nan"
"test_acc_Scree, 0.162"
"test_acc_Scree with grass, 0.003"
"test_acc_Water, 0.001"
"test_acc_Forest, 0.603"
"test_acc_Glacier, 0.031"
Experiment results
out/august/debug/metrics.csv
2023-08-24 12:11:06
"test_miou, 0.087"
"test_macc, 0.216"
"test_oacc, 0.314"
"frequent_cls_acc, 0.358"
"common_cls_acc, 0.001"
"rare_cls_acc, nan"
"test_acc_Background, 0.001"
"test_acc_Bedrock, 0.298"
"test_acc_Bedrockwith grass, 0.001"
"test_acc_Large blocks, 0.513"
"test_acc_Large blocks with grass, nan"
"test_acc_Scree, 0.345"
"test_acc_Scree with grass, 0.001"
"test_acc_Water, 0.001"
"test_acc_Forest, 0.568"
"test_acc_Glacier, 0.221"
Experiment results
out/august/debug/metrics.csv
2023-08-24 12:28:20
"test_miou, 0.063"
"test_macc, 0.201"
"test_oacc, 0.202"
"frequent_cls_acc, 0.218"
"common_cls_acc, 0.031"
"rare_cls_acc, nan"
"test_acc_Background, 0.001"
"test_acc_Bedrock, 0.237"
"test_acc_Bedrockwith grass, 0.063"
"test_acc_Large blocks, 0.842"
"test_acc_Large blocks with grass, nan"
"test_acc_Scree, 0.158"
"test_acc_Scree with grass, 0.015"
"test_acc_Water, 0.016"
"test_acc_Forest, 0.288"
"test_acc_Glacier, 0.19"
Experiment results
out/august/debug/metrics.csv
2023-08-24 14:53:56
"test_miou, 0.128"
"test_macc, 0.28"
"test_oacc, 0.514"
"frequent_cls_acc, 0.459"
"common_cls_acc, 0.003"
"rare_cls_acc, nan"
"test_acc_Background, 0.003"
"test_acc_Bedrock, 0.844"
"test_acc_Bedrockwith grass, 0.004"
"test_acc_Large blocks, 0.675"
"test_acc_Large blocks with grass, nan"
"test_acc_Scree, 0.488"
"test_acc_Scree with grass, 0.0"
"test_acc_Water, 0.006"
"test_acc_Forest, 0.002"
"test_acc_Glacier, 0.502"
Experiment results
out/august/debug/metrics.csv
2023-08-24 15:52:56
"test_miou, 0.127"
"test_macc, 0.238"
"test_oacc, 0.492"
"frequent_cls_acc, 0.441"
"common_cls_acc, 0.013"
"rare_cls_acc, nan"
"test_acc_Background, 0.014"
"test_acc_Bedrock, 0.743"
"test_acc_Bedrockwith grass, 0.023"
"test_acc_Large blocks, 0.328"
"test_acc_Large blocks with grass, nan"
"test_acc_Scree, 0.448"
"test_acc_Scree with grass, 0.0"
"test_acc_Water, 0.015"
"test_acc_Forest, 0.012"
"test_acc_Glacier, 0.562"
Experiment results
out/august/debug/metrics.csv
2023-08-24 18:16:08
"test_miou, 0.095"
"test_macc, 0.174"
"test_oacc, 0.331"
"frequent_cls_acc, 0.342"
"common_cls_acc, 0.005"
"rare_cls_acc, nan"
"test_acc_Background, 0.026"
"test_acc_Bedrock, 0.366"
"test_acc_Bedrockwith grass, 0.001"
"test_acc_Large blocks, 0.154"
"test_acc_Large blocks with grass, nan"
"test_acc_Scree, 0.247"
"test_acc_Scree with grass, 0.005"
"test_acc_Water, 0.01"
"test_acc_Forest, 0.334"
"test_acc_Glacier, 0.421"
Experiment results
out/august/debug/metrics.csv
2023-08-24 18:17:57
"test_miou, 0.095"
"test_macc, 0.174"
"test_oacc, 0.33"
"frequent_cls_acc, 0.341"
"common_cls_acc, 0.006"
"rare_cls_acc, nan"
"test_acc_Background, 0.026"
"test_acc_Bedrock, 0.366"
"test_acc_Bedrockwith grass, 0.001"
"test_acc_Large blocks, 0.154"
"test_acc_Large blocks with grass, nan"
"test_acc_Scree, 0.246"
"test_acc_Scree with grass, 0.005"
"test_acc_Water, 0.011"
"test_acc_Forest, 0.333"
"test_acc_Glacier, 0.421"
