Experiment results
out/august/observe_zero_nt_expert/metrics.csv
2023-08-24 12:31:43
"test_miou, 0.063"
"test_macc, 0.202"
"test_oacc, 0.204"
"frequent_cls_acc, 0.22"
"common_cls_acc, 0.03"
"rare_cls_acc, nan"
"test_acc_Background, 0.001"
"test_acc_Bedrock, 0.234"
"test_acc_Bedrockwith grass, 0.061"
"test_acc_Large blocks, 0.841"
"test_acc_Large blocks with grass, nan"
"test_acc_Scree, 0.164"
"test_acc_Scree with grass, 0.015"
"test_acc_Water, 0.015"
"test_acc_Forest, 0.293"
"test_acc_Glacier, 0.191"
Experiment results
out/august/observe_zero_nt_expert/metrics.csv
2023-08-24 14:19:00
"test_miou, 0.063"
"test_macc, 0.202"
"test_oacc, 0.205"
"frequent_cls_acc, 0.222"
"common_cls_acc, 0.03"
"rare_cls_acc, nan"
"test_acc_Background, 0.001"
"test_acc_Bedrock, 0.234"
"test_acc_Bedrockwith grass, 0.061"
"test_acc_Large blocks, 0.84"
"test_acc_Large blocks with grass, nan"
"test_acc_Scree, 0.164"
"test_acc_Scree with grass, 0.015"
"test_acc_Water, 0.015"
"test_acc_Forest, 0.294"
"test_acc_Glacier, 0.194"
