Experiment results
out/baseline/deeplabv3plus_new_scheduler/metrics.csv
2023-06-26 13:47:28
"test_miou, 0.477"
"test_macc, 0.56"
"test_oacc, 0.847"
"frequent_cls_acc, 0.877"
"common_cls_acc, 0.523"
"rare_cls_acc, 0.26"
"test_acc_Background, 0.0"
"test_acc_Bedrock, 0.826"
"test_acc_Bedrockwith grass, 0.231"
"test_acc_Large blocks, 0.379"
"test_acc_Large blocks with grass, 0.142"
"test_acc_Scree, 0.826"
"test_acc_Scree with grass, 0.427"
"test_acc_Water, 0.91"
"test_acc_Forest, 0.96"
"test_acc_Glacier, 0.896"
