,test_mean_acc,test_mean_iou,test_class_accuracies,test_overall_acc
Background,0.5483318273504886,0.4824332786034124,0.0,0.8522468512427299
Fels,0.5483318273504886,0.4824332786034124,0.828,0.8522468512427299
Fels locker,0.5483318273504886,0.4824332786034124,0.266,0.8522468512427299
Felsbloecke,0.5483318273504886,0.4824332786034124,0.328,0.8522468512427299
Felsbloecke locker,0.5483318273504886,0.4824332786034124,0.139,0.8522468512427299
Fliessgewaesser,0.5483318273504886,0.4824332786034124,0.913,0.8522468512427299
Gletscher,0.5483318273504886,0.4824332786034124,0.903,0.8522468512427299
Lockergestein,0.5483318273504886,0.4824332786034124,0.842,0.8522468512427299
Lockergestein locker,0.5483318273504886,0.4824332786034124,0.305,0.8522468512427299
Wald,0.5483318273504886,0.4824332786034124,0.96,0.8522468512427299
