,mean_acc,mean_iou,class_accuracies,overall_acc
Background,0.1111111111111111,0.013753188888888889,0.0,0.1237787
Fels,0.1111111111111111,0.013753188888888889,0.0,0.1237787
Fels locker,0.1111111111111111,0.013753188888888889,0.0,0.1237787
Felsbloecke,0.1111111111111111,0.013753188888888889,0.0,0.1237787
Felsbloecke locker,0.1111111111111111,0.013753188888888889,,0.1237787
Fliessgewaesser,0.1111111111111111,0.013753188888888889,0.0,0.1237787
Gletscher,0.1111111111111111,0.013753188888888889,0.0,0.1237787
Lockergestein,0.1111111111111111,0.013753188888888889,0.0,0.1237787
Lockergestein locker,0.1111111111111111,0.013753188888888889,0.0,0.1237787
Wald,0.1111111111111111,0.013753188888888889,1.0,0.1237787
