Experiment results
out/august/MCE_base_no_adap_lr/metrics.csv
2023-09-07 20:45:29
"test_miou, 0.379"
"test_macc, 0.721"
"test_oacc, 0.711"
"frequent_cls_acc, 0.729"
"common_cls_acc, 0.871"
"rare_cls_acc, 0.841"
"test_acc_Background, 0.0"
"test_acc_Bedrock, 0.713"
"test_acc_Bedrockwith grass, 0.756"
"test_acc_Large blocks, 0.973"
"test_acc_Large blocks with grass, 0.709"
"test_acc_Scree, 0.496"
"test_acc_Scree with grass, 0.869"
"test_acc_Water, 0.988"
"test_acc_Forest, 0.806"
"test_acc_Glacier, 0.901"
