Experiment results
out/cnn/ace_3exp_CNN/metrics.csv
2023-06-29 21:56:25
"test_miou, 0.464"
"test_macc, 0.528"
"test_oacc, 0.851"
"frequent_cls_acc, 0.883"
"common_cls_acc, 0.506"
"rare_cls_acc, 0.115"
"test_acc_Background, 0.0"
"test_acc_Bedrock, 0.843"
"test_acc_Bedrockwith grass, 0.24"
"test_acc_Large blocks, 0.23"
"test_acc_Large blocks with grass, 0.0"
"test_acc_Scree, 0.817"
"test_acc_Scree with grass, 0.37"
"test_acc_Water, 0.908"
"test_acc_Forest, 0.962"
"test_acc_Glacier, 0.908"
