Experiment results
out/experts/ace_3exp/metrics.csv
2023-06-26 14:11:51
"test_miou, 0.265"
"test_macc, 0.594"
"test_oacc, 0.569"
"frequent_cls_acc, 0.608"
"common_cls_acc, 0.811"
"rare_cls_acc, 0.54"
"test_acc_Background, 0.0"
"test_acc_Bedrock, 0.431"
"test_acc_Bedrockwith grass, 0.611"
"test_acc_Large blocks, 0.936"
"test_acc_Large blocks with grass, 0.145"
"test_acc_Scree, 0.308"
"test_acc_Scree with grass, 0.858"
"test_acc_Water, 0.965"
"test_acc_Forest, 0.805"
"test_acc_Glacier, 0.886"
