Experiment results
out/experts/ace_3exp_better/metrics.csv
2023-06-26 14:44:25
"test_miou, 0.315"
"test_macc, 0.637"
"test_oacc, 0.668"
"frequent_cls_acc, 0.693"
"common_cls_acc, 0.814"
"rare_cls_acc, 0.574"
"test_acc_Background, 0.0"
"test_acc_Bedrock, 0.578"
"test_acc_Bedrockwith grass, 0.631"
"test_acc_Large blocks, 0.922"
"test_acc_Large blocks with grass, 0.227"
"test_acc_Scree, 0.504"
"test_acc_Scree with grass, 0.839"
"test_acc_Water, 0.973"
"test_acc_Forest, 0.816"
"test_acc_Glacier, 0.875"
