Experiment results
out/lws/ace_2exp_L2_new_lws/metrics.csv
2023-06-30 21:35:27
"test_miou, 0.456"
"test_macc, 0.629"
"test_oacc, 0.822"
"frequent_cls_acc, 0.85"
"common_cls_acc, 0.701"
"rare_cls_acc, 0.395"
"test_acc_Background, 0.0"
"test_acc_Bedrock, 0.776"
"test_acc_Bedrockwith grass, 0.47"
"test_acc_Large blocks, 0.621"
"test_acc_Large blocks with grass, 0.169"
"test_acc_Scree, 0.764"
"test_acc_Scree with grass, 0.692"
"test_acc_Water, 0.942"
"test_acc_Forest, 0.958"
"test_acc_Glacier, 0.903"
