Experiment results
out/lws/ace_3exp_better_lws_L2/metrics.csv
2023-06-28 10:10:57
"test_miou, 0.453"
"test_macc, 0.64"
"test_oacc, 0.822"
"frequent_cls_acc, 0.849"
"common_cls_acc, 0.686"
"rare_cls_acc, 0.473"
"test_acc_Background, 0.0"
"test_acc_Bedrock, 0.812"
"test_acc_Bedrockwith grass, 0.477"
"test_acc_Large blocks, 0.702"
"test_acc_Large blocks with grass, 0.244"
"test_acc_Scree, 0.739"
"test_acc_Scree with grass, 0.635"
"test_acc_Water, 0.946"
"test_acc_Forest, 0.948"
"test_acc_Glacier, 0.898"
