Experiment results
out/lws_l2_norm/debug/metrics.csv
2023-06-26 18:24:12
"test_miou, 0.021"
"test_macc, 0.092"
"test_oacc, 0.058"
"frequent_cls_acc, 0.071"
"common_cls_acc, 0.06"
"rare_cls_acc, nan"
"test_acc_Background, 0.355"
"test_acc_Bedrock, 0.001"
"test_acc_Bedrockwith grass, 0.044"
"test_acc_Large blocks, 0.006"
"test_acc_Large blocks with grass, nan"
"test_acc_Scree, 0.111"
"test_acc_Scree with grass, 0.135"
"test_acc_Water, 0.0"
"test_acc_Forest, 0.169"
"test_acc_Glacier, 0.004"
