,test_mean_acc,test_mean_iou,test_class_accuracies,test_overall_acc
Background,0.5220074246757213,0.4602250870275212,0.0,0.8486818404600606
Fels,0.5220074246757213,0.4602250870275212,0.821,0.8486818404600606
Fels locker,0.5220074246757213,0.4602250870275212,0.217,0.8486818404600606
Felsbloecke,0.5220074246757213,0.4602250870275212,0.284,0.8486818404600606
Felsbloecke locker,0.5220074246757213,0.4602250870275212,0.0,0.8486818404600606
Fliessgewaesser,0.5220074246757213,0.4602250870275212,0.886,0.8486818404600606
Gletscher,0.5220074246757213,0.4602250870275212,0.895,0.8486818404600606
Lockergestein,0.5220074246757213,0.4602250870275212,0.845,0.8486818404600606
Lockergestein locker,0.5220074246757213,0.4602250870275212,0.31,0.8486818404600606
Wald,0.5220074246757213,0.4602250870275212,0.962,0.8486818404600606
