,test_mean_acc,test_mean_iou,test_class_accuracies,test_overall_acc
Background,0.35285393113661,0.3031984718521478,0.0,0.8336131330733875
Fels,0.35285393113661,0.3031984718521478,0.802,0.8336131330733875
Fels locker,0.35285393113661,0.3031984718521478,0.0,0.8336131330733875
Felsbloecke,0.35285393113661,0.3031984718521478,0.0,0.8336131330733875
Felsbloecke locker,0.35285393113661,0.3031984718521478,0.0,0.8336131330733875
Fliessgewaesser,0.35285393113661,0.3031984718521478,0.0,0.8336131330733875
Gletscher,0.35285393113661,0.3031984718521478,0.894,0.8336131330733875
Lockergestein,0.35285393113661,0.3031984718521478,0.853,0.8336131330733875
Lockergestein locker,0.35285393113661,0.3031984718521478,0.0,0.8336131330733875
Wald,0.35285393113661,0.3031984718521478,0.979,0.8336131330733875
