Experiment results
out/cnn/ace_3exp_CNN_new_lws_L2/metrics.csv
2023-07-01 19:03:53
"test_miou, 0.471"
"test_macc, 0.552"
"test_oacc, 0.847"
"frequent_cls_acc, 0.876"
"common_cls_acc, 0.55"
"rare_cls_acc, 0.182"
"test_acc_Background, 0.0"
"test_acc_Bedrock, 0.816"
"test_acc_Bedrockwith grass, 0.35"
"test_acc_Large blocks, 0.365"
"test_acc_Large blocks with grass, 0.0"
"test_acc_Scree, 0.848"
"test_acc_Scree with grass, 0.388"
"test_acc_Water, 0.911"
"test_acc_Forest, 0.952"
"test_acc_Glacier, 0.886"
