Experiment results
out/experts/ace_2exp/metrics.csv
2023-06-26 14:03:46
"test_miou, 0.298"
"test_macc, 0.608"
"test_oacc, 0.621"
"frequent_cls_acc, 0.645"
"common_cls_acc, 0.842"
"rare_cls_acc, 0.49"
"test_acc_Background, 0.0"
"test_acc_Bedrock, 0.536"
"test_acc_Bedrockwith grass, 0.71"
"test_acc_Large blocks, 0.843"
"test_acc_Large blocks with grass, 0.137"
"test_acc_Scree, 0.437"
"test_acc_Scree with grass, 0.847"
"test_acc_Water, 0.968"
"test_acc_Forest, 0.772"
"test_acc_Glacier, 0.834"
