Experiment results
out/baseline/deeplabv3plus_base_all/metrics.csv
2023-06-26 13:55:34
"test_miou, 0.524"
"test_macc, 0.594"
"test_oacc, 0.88"
"frequent_cls_acc, 0.908"
"common_cls_acc, 0.554"
"rare_cls_acc, 0.324"
"test_acc_Background, 0.0"
"test_acc_Bedrock, 0.869"
"test_acc_Bedrockwith grass, 0.364"
"test_acc_Large blocks, 0.497"
"test_acc_Large blocks with grass, 0.15"
"test_acc_Scree, 0.86"
"test_acc_Scree with grass, 0.369"
"test_acc_Water, 0.928"
"test_acc_Forest, 0.969"
"test_acc_Glacier, 0.933"
