Experiment results
out/lws/ace_2exp_better_lws/metrics.csv
2023-06-27 23:07:56
"test_miou, 0.374"
"test_macc, 0.651"
"test_oacc, 0.746"
"frequent_cls_acc, 0.771"
"common_cls_acc, 0.802"
"rare_cls_acc, 0.508"
"test_acc_Background, 0.0"
"test_acc_Bedrock, 0.688"
"test_acc_Bedrockwith grass, 0.6"
"test_acc_Large blocks, 0.842"
"test_acc_Large blocks with grass, 0.174"
"test_acc_Scree, 0.619"
"test_acc_Scree with grass, 0.847"
"test_acc_Water, 0.958"
"test_acc_Forest, 0.883"
"test_acc_Glacier, 0.894"
