Experiment results
out/lws/ace_2exp_lws/metrics.csv
2023-06-27 15:55:56
"test_miou, 0.291"
"test_macc, 0.605"
"test_oacc, 0.608"
"frequent_cls_acc, 0.631"
"common_cls_acc, 0.839"
"rare_cls_acc, 0.506"
"test_acc_Background, 0.0"
"test_acc_Bedrock, 0.525"
"test_acc_Bedrockwith grass, 0.7"
"test_acc_Large blocks, 0.851"
"test_acc_Large blocks with grass, 0.162"
"test_acc_Scree, 0.421"
"test_acc_Scree with grass, 0.85"
"test_acc_Water, 0.968"
"test_acc_Forest, 0.751"
"test_acc_Glacier, 0.826"
