Experiment results
out/new_lws/ace_2exp_new_lws_L2/metrics.csv
2023-07-02 23:56:17
"test_miou, 0.457"
"test_macc, 0.619"
"test_oacc, 0.829"
"frequent_cls_acc, 0.857"
"common_cls_acc, 0.655"
"rare_cls_acc, 0.4"
"test_acc_Background, 0.0"
"test_acc_Bedrock, 0.789"
"test_acc_Bedrockwith grass, 0.371"
"test_acc_Large blocks, 0.643"
"test_acc_Large blocks with grass, 0.158"
"test_acc_Scree, 0.779"
"test_acc_Scree with grass, 0.646"
"test_acc_Water, 0.948"
"test_acc_Forest, 0.957"
"test_acc_Glacier, 0.903"
