Experiment results
out/separate_bckprp/ace_3exp_L2_new_lws/metrics.csv
2023-07-02 09:12:34
"test_miou, 0.459"
"test_macc, 0.593"
"test_oacc, 0.837"
"frequent_cls_acc, 0.863"
"common_cls_acc, 0.631"
"rare_cls_acc, 0.292"
"test_acc_Background, 0.0"
"test_acc_Bedrock, 0.819"
"test_acc_Bedrockwith grass, 0.396"
"test_acc_Large blocks, 0.583"
"test_acc_Large blocks with grass, 0.0"
"test_acc_Scree, 0.816"
"test_acc_Scree with grass, 0.556"
"test_acc_Water, 0.94"
"test_acc_Forest, 0.945"
"test_acc_Glacier, 0.871"
