Experiment results
out/mce2/mce2_l2/metrics.csv
2023-08-20 18:09:59
"test_miou, 0.279"
"test_macc, 0.348"
"test_oacc, 0.752"
"frequent_cls_acc, 0.8"
"common_cls_acc, 0.095"
"rare_cls_acc, 0.0"
"test_acc_Background, 0.0"
"test_acc_Bedrock, 0.733"
"test_acc_Bedrockwith grass, 0.0"
"test_acc_Large blocks, 0.0"
"test_acc_Large blocks with grass, 0.0"
"test_acc_Scree, 0.751"
"test_acc_Scree with grass, 0.0"
"test_acc_Water, 0.286"
"test_acc_Forest, 0.927"
"test_acc_Glacier, 0.787"
