Experiment results
out/best/mce_lcom_ws13/metrics_zero_nontarget_exp.csv
2023-09-11 18:59:43
"test_miou, 0.515"
"test_macc, 0.721"
"test_oacc, 0.864"
"frequent_cls_acc, 0.884"
"common_cls_acc, 0.774"
"rare_cls_acc, 0.676"
"test_acc_Background, 0.0"
"test_acc_Bedrock, 0.846"
"test_acc_Bedrockwith grass, 0.625"
"test_acc_Large blocks, 0.817"
"test_acc_Large blocks with grass, 0.535"
"test_acc_Scree, 0.816"
"test_acc_Scree with grass, 0.721"
"test_acc_Water, 0.977"
"test_acc_Forest, 0.948"
"test_acc_Glacier, 0.926"
