Experiment results
out/best/mce_lcom_ws13/metrics_zero_nontarget_exp.csv
2023-09-11 19:09:20
"test_miou, 0.546"
"test_macc, 0.683"
"test_oacc, 0.876"
"frequent_cls_acc, 0.898"
"common_cls_acc, 0.699"
"rare_cls_acc, 0.573"
"test_acc_Background, 0.0"
"test_acc_Bedrock, 0.858"
"test_acc_Bedrockwith grass, 0.532"
"test_acc_Large blocks, 0.696"
"test_acc_Large blocks with grass, 0.45"
"test_acc_Scree, 0.846"
"test_acc_Scree with grass, 0.604"
"test_acc_Water, 0.961"
"test_acc_Forest, 0.959"
"test_acc_Glacier, 0.927"
