Experiment results
out/august/CBL_sm_ws13/metrics.csv
2023-09-05 19:18:53
"test_miou, 0.404"
"test_macc, 0.526"
"test_oacc, 0.77"
"frequent_cls_acc, 0.804"
"common_cls_acc, 0.68"
"rare_cls_acc, 0.0"
"test_acc_Background, 0.0"
"test_acc_Bedrock, 0.423"
"test_acc_Bedrockwith grass, 0.44"
"test_acc_Large blocks, 0.0"
"test_acc_Large blocks with grass, 0.0"
"test_acc_Scree, 0.932"
"test_acc_Scree with grass, 0.782"
"test_acc_Water, 0.818"
"test_acc_Forest, 0.943"
"test_acc_Glacier, 0.918"
