Experiment results
out/august/MCE_base_ws13/metrics.csv
2023-08-31 03:08:15
"test_miou, 0.405"
"test_macc, 0.697"
"test_oacc, 0.767"
"frequent_cls_acc, 0.796"
"common_cls_acc, 0.831"
"rare_cls_acc, 0.648"
"test_acc_Background, 0.0"
"test_acc_Bedrock, 0.745"
"test_acc_Bedrockwith grass, 0.674"
"test_acc_Large blocks, 0.958"
"test_acc_Large blocks with grass, 0.338"
"test_acc_Scree, 0.617"
"test_acc_Scree with grass, 0.835"
"test_acc_Water, 0.984"
"test_acc_Forest, 0.94"
"test_acc_Glacier, 0.88"
