Experiment results
out/august/SL_ws13/metrics.csv
2023-08-28 09:58:50
"test_miou, 0.505"
"test_macc, 0.646"
"test_oacc, 0.869"
"frequent_cls_acc, 0.894"
"common_cls_acc, 0.713"
"rare_cls_acc, 0.376"
"test_acc_Background, 0.0"
"test_acc_Bedrock, 0.833"
"test_acc_Bedrockwith grass, 0.534"
"test_acc_Large blocks, 0.652"
"test_acc_Large blocks with grass, 0.099"
"test_acc_Scree, 0.838"
"test_acc_Scree with grass, 0.647"
"test_acc_Water, 0.958"
"test_acc_Forest, 0.972"
"test_acc_Glacier, 0.932"
