Experiment results
out/paper/mce2_July/metrics.csv
2023-08-21 17:40:49
"test_miou, 0.426"
"test_macc, 0.62"
"test_oacc, 0.808"
"frequent_cls_acc, 0.829"
"common_cls_acc, 0.708"
"rare_cls_acc, 0.378"
"test_acc_Background, 0.0"
"test_acc_Bedrock, 0.775"
"test_acc_Bedrockwith grass, 0.46"
"test_acc_Large blocks, 0.623"
"test_acc_Large blocks with grass, 0.134"
"test_acc_Scree, 0.754"
"test_acc_Scree with grass, 0.71"
"test_acc_Water, 0.953"
"test_acc_Forest, 0.897"
"test_acc_Glacier, 0.889"
