Experiment results
out/separate_bckprp/ace_2exp_L2_lws_separate_bckprp/metrics.csv
2023-06-30 15:24:07
"test_miou, 0.471"
"test_macc, 0.596"
"test_oacc, 0.846"
"frequent_cls_acc, 0.872"
"common_cls_acc, 0.649"
"rare_cls_acc, 0.262"
"test_acc_Background, 0.0"
"test_acc_Bedrock, 0.823"
"test_acc_Bedrockwith grass, 0.433"
"test_acc_Large blocks, 0.525"
"test_acc_Large blocks with grass, 0.0"
"test_acc_Scree, 0.803"
"test_acc_Scree with grass, 0.58"
"test_acc_Water, 0.935"
"test_acc_Forest, 0.954"
"test_acc_Glacier, 0.909"
