Experiment results
out/mce2/mce2_base/metrics.csv
2023-08-20 10:59:41
"test_miou, 0.321"
"test_macc, 0.625"
"test_oacc, 0.663"
"frequent_cls_acc, 0.678"
"common_cls_acc, 0.838"
"rare_cls_acc, 0.516"
"test_acc_Background, 0.0"
"test_acc_Bedrock, 0.639"
"test_acc_Bedrockwith grass, 0.686"
"test_acc_Large blocks, 0.862"
"test_acc_Large blocks with grass, 0.17"
"test_acc_Scree, 0.47"
"test_acc_Scree with grass, 0.854"
"test_acc_Water, 0.973"
"test_acc_Forest, 0.734"
"test_acc_Glacier, 0.867"
