Experiment results
out/august/MCE2/metrics.csv
2023-08-25 15:58:43
"test_miou, 0.014"
"test_macc, 0.112"
"test_oacc, 0.126"
"frequent_cls_acc, 0.25"
"common_cls_acc, 0.001"
"rare_cls_acc, nan"
"test_acc_Background, 0.002"
"test_acc_Bedrock, 0.012"
"test_acc_Bedrockwith grass, 0.0"
"test_acc_Large blocks, 0.0"
"test_acc_Large blocks with grass, nan"
"test_acc_Scree, 0.001"
"test_acc_Scree with grass, 0.0"
"test_acc_Water, 0.002"
"test_acc_Forest, 0.989"
"test_acc_Glacier, 0.0"
