Experiment results
out/august/MCE2_ws13/metrics.csv
2023-08-29 18:47:27
"test_miou, 0.508"
"test_macc, 0.639"
"test_oacc, 0.853"
"frequent_cls_acc, 0.876"
"common_cls_acc, 0.684"
"rare_cls_acc, 0.416"
"test_acc_Background, 0.0"
"test_acc_Bedrock, 0.852"
"test_acc_Bedrockwith grass, 0.457"
"test_acc_Large blocks, 0.611"
"test_acc_Large blocks with grass, 0.221"
"test_acc_Scree, 0.802"
"test_acc_Scree with grass, 0.649"
"test_acc_Water, 0.947"
"test_acc_Forest, 0.949"
"test_acc_Glacier, 0.902"
